"R0000100","R0070400","R0070500","R0071000","R0357900","R0358100","R0358300","R0358500","R0358900","R0359100","R0536300","R0536401","R0536402","R1204700","R1205300","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R9792900","R9793400","R9793500","R9793600","R9793700","R9793800","R9793900"
1,5,4,3,1,0,1,0,0,-4,2,9,1981,-3,1,1,16,8,16,8,4,85,-4,-4,-4,-4,350,470
2,1,4,2,0,-4,0,-4,0,-4,1,7,1982,-4,2,1,17,15,14,15,2,-3,-4,-4,-4,-4,460,440
3,4,2,3,0,-4,1,0,0,-4,2,9,1983,10200,4,1,-3,12,-4,12,2,-4,-4,-4,-4,-4,-4,-4
4,5,5,4,0,-4,1,1,0,-4,2,2,1981,-1500,4,1,12,12,-4,12,2,74,-4,-4,-4,-4,-4,-4
5,3,1,2,1,5,1,1,1,0,1,10,1982,-3,1,1,12,12,12,12,2,75,-4,-4,-4,-4,-4,-4
6,5,3,5,0,-4,0,-4,0,-4,2,1,1982,7500,4,1,-3,12,-4,12,2,55,-4,-4,-4,-4,-4,-4
7,5,2,3,0,-4,0,-4,0,-4,1,4,1983,7500,4,1,-3,12,-4,12,2,-4,-4,-4,-4,-4,-4,-4
8,2,1,-2,0,-4,0,-4,0,-4,2,6,1981,-3,1,1,6,12,6,12,4,81,-4,-4,-4,-4,620,620
9,2,3,-2,0,-4,0,-4,0,-4,1,10,1982,-3,1,1,6,12,6,12,4,85,-4,-4,-4,-4,380,460
10,1,1,1,0,-4,0,-4,0,-4,1,3,1984,-3,1,1,6,12,6,12,4,90,-4,-4,-4,-4,600,560
11,5,4,4,1,0,1,0,0,-4,2,6,1982,17500,4,1,12,14,-4,14,2,80,-4,-4,-4,-4,-4,-4
12,3,2,3,0,-4,0,-4,0,-4,1,10,1981,17500,2,1,-3,12,12,12,2,63,-4,-4,-4,-4,-4,-4
13,1,-2,1,0,-4,0,-4,0,-4,1,11,1984,-4,4,1,-3,6,-4,6,2,59,-4,-4,-4,-4,-4,-4
14,1,1,1,0,-4,0,-4,0,-4,1,7,1980,17500,1,1,12,12,12,12,2,-4,-4,-4,-4,-4,-4,-4
15,3,1,1,0,-4,0,-4,0,-4,2,1,1983,-4,1,1,13,12,13,12,2,3,-4,-4,-4,-4,-4,-4
16,3,2,2,1,0,1,2,0,-4,1,2,1982,17500,4,1,10,11,-4,11,2,60,-4,-4,-4,-4,-4,-4
17,3,-2,3,1,0,0,-4,1,0,2,11,1981,7500,2,1,-3,14,10,14,2,-3,-4,-4,-4,-4,-4,-4
18,4,5,5,0,-4,1,0,0,-4,1,2,1982,3750,4,1,10,15,-4,15,1,-4,-4,-4,-4,-4,-4,-4
19,5,1,3,0,-4,0,-4,0,-4,1,4,1984,3750,4,1,10,15,-4,15,1,19,-4,-4,-4,-4,-4,-4
20,3,4,1,0,-4,1,0,0,-4,1,12,1980,3750,4,1,10,11,-4,11,1,-4,-4,-4,-4,-4,-4,-4
21,2,3,5,1,9,1,4,1,0,1,8,1982,7500,4,1,11,13,-4,13,2,56,-4,-4,-4,-4,-4,-4
22,5,3,5,1,30,1,2,0,-4,1,6,1982,7500,4,1,12,11,-4,11,2,-4,-4,-4,-4,-4,-4,-4
23,5,3,4,0,-4,0,-4,0,-4,2,1,1983,7500,4,1,10,10,-4,10,2,76,-4,-4,-4,-4,-4,-4
24,3,1,1,0,-4,0,-4,0,-4,1,6,1984,7500,2,1,5,7,13,7,2,-4,-4,-4,-4,-4,-4,-4
25,5,-2,-2,0,-4,0,-4,0,-4,2,3,1983,7500,1,1,12,12,12,12,2,41,-4,-4,-4,-4,-4,-4
26,4,5,-2,0,-4,0,-4,0,-4,1,10,1980,7500,4,1,-3,12,-4,12,1,2,-4,-4,-4,-4,-4,-4
27,5,5,5,1,3,1,12,0,-4,1,5,1981,7500,4,1,8,10,-4,10,1,-4,-4,-4,-4,-4,-4,-4
28,1,1,1,0,-4,0,-4,0,-4,2,11,1983,7500,2,1,12,12,16,12,1,74,-4,-4,-4,-4,-4,-4
29,3,2,3,1,0,0,-4,0,-4,2,1,1983,3750,1,1,-3,-3,-3,-3,4,-4,-4,-4,-4,-4,-4,-4
30,3,-2,-2,0,-4,0,-4,0,-4,1,6,1981,-3,1,1,-3,-3,-3,-3,4,-4,-4,-4,-4,-4,-4,-4
31,3,1,1,0,-4,0,-4,0,-4,1,7,1982,-4,1,1,12,12,12,12,4,91,-4,-4,-4,-4,450,590
32,3,1,2,1,0,0,-4,0,-4,2,7,1981,-4,1,1,16,16,16,16,4,-3,-4,-4,-4,-4,-4,-4
33,4,3,3,0,-4,1,0,0,-4,2,12,1980,259500,1,1,16,14,16,14,4,96,-4,-4,-4,-4,-4,-4
34,1,1,1,1,0,1,0,0,-4,2,12,1984,17500,1,1,9,16,9,16,4,-4,-4,-4,-4,-4,-4,-4
35,-2,1,-2,0,-4,0,-4,0,-4,1,1,1983,-4,1,1,-3,-3,-3,-3,4,81,-4,-4,-4,-4,560,520
36,4,3,4,1,30,1,3,1,25,2,8,1980,66000,1,1,16,15,16,15,4,72,-4,-4,-4,-4,-4,-4
37,2,2,2,0,-4,0,-4,0,-4,2,11,1980,3000,1,1,11,-3,11,-3,4,78,-4,-4,-4,-4,540,630
38,3,2,-2,0,-4,0,-4,0,-4,2,9,1981,3000,1,1,11,-3,11,-3,4,72,-4,-4,-4,-4,-4,-4
39,3,2,3,1,1,1,4,1,0,1,2,1980,-3,1,1,-3,-3,-3,-3,2,-4,-4,-4,-4,-4,-4,-4
40,1,1,1,0,-4,0,-4,0,-4,2,5,1984,-4,1,1,12,12,12,12,4,-4,-4,-4,-4,-4,-4,-4
41,1,1,1,0,-4,0,-4,0,-4,2,1,1983,-4,1,1,12,12,12,12,4,83,-4,-4,-4,-4,560,690
42,1,1,-2,0,-4,0,-4,0,-4,1,8,1983,-4,1,1,-3,-3,-3,-3,4,-4,-4,-4,-4,-4,-4,-4
43,4,1,1,0,-4,0,-4,0,-4,2,10,1981,7500,4,1,-4,-3,-4,-3,1,67,-4,-4,-4,-4,-4,-4
44,4,3,2,0,-4,0,-4,0,-4,1,12,1981,41250,1,1,-3,-3,-3,-3,2,-4,-4,-4,-4,-4,-4,-4
45,3,1,1,0,-4,0,-4,0,-4,2,2,1984,500,4,1,-4,8,-4,8,1,63,-4,-4,-4,-4,-4,-4
46,3,3,3,0,-4,0,-4,0,-4,1,2,1984,500,4,1,-4,8,-4,8,1,-4,-4,-4,-4,-4,-4,-4
47,4,2,3,0,-4,0,-4,0,-4,2,9,1982,1750,8,1,-4,11,-4,-4,1,-4,-4,-4,-4,-4,-4,-4
48,3,1,3,1,0,1,0,0,-4,2,7,1983,1750,8,1,-4,11,-4,-4,1,-4,-4,-4,-4,-4,-4,-4
49,3,3,-2,0,-4,0,-4,0,-4,2,12,1982,-3,2,1,-3,12,-3,12,1,72,-4,-4,-4,-4,-4,-4
50,3,3,3,0,-4,0,-4,0,-4,2,2,1983,3750,4,1,-4,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
51,-2,-2,-2,0,-4,-1,-4,-1,-4,1,6,1980,3750,4,1,-4,12,-4,12,1,-3,-4,-4,-4,-4,-4,-4
52,-2,-2,-2,0,-4,0,-4,0,-4,1,12,1983,3750,4,1,-4,12,-4,12,1,63,-4,-4,-4,-4,-4,-4
53,1,-2,-2,0,-4,0,-4,0,-4,2,4,1984,7500,1,1,12,12,12,12,1,74,-4,-4,-4,-4,-4,-4
54,1,1,1,0,-4,0,-4,0,-4,2,12,1984,-3,8,1,-4,14,-4,-4,1,-4,-4,-4,-4,-4,-4,-4
55,3,1,1,0,-4,0,-4,0,-4,2,2,1981,3500,1,1,12,10,12,10,2,-4,-4,-4,-4,-4,-4,-4
56,3,3,3,0,-4,1,2,0,-4,2,2,1982,488850,1,1,16,18,16,18,4,87,-4,-4,-4,-4,-4,-4
57,1,1,-2,0,-4,-1,-4,-1,-4,1,12,1982,-3,1,1,12,12,12,12,1,-3,-4,-4,-4,-4,-4,-4
58,1,1,3,1,1,0,-4,0,-4,1,11,1983,-1750,1,1,12,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
59,1,1,1,0,-4,0,-4,0,-4,2,4,1981,73500,9,1,-4,16,-4,-4,1,81,-4,-4,-4,-4,-4,-4
60,1,1,1,0,-4,0,-4,0,-4,1,1,1984,19500,2,1,-4,14,12,14,4,86,-4,-4,-4,-4,260,460
61,4,2,1,0,-4,0,-4,0,-4,2,5,1983,37000,4,1,12,12,-4,12,1,69,-4,-4,-4,-4,-4,-4
62,2,1,1,0,-4,0,-4,0,-4,1,3,1980,158500,1,1,14,14,14,14,1,2,21,20,19,22,620,530
63,4,1,1,0,-4,0,-4,0,-4,2,10,1984,158500,1,1,14,14,14,14,1,2,15,12,17,18,-4,-4
64,4,3,3,0,-4,0,-4,0,-4,1,3,1980,-4,1,1,12,15,12,15,1,63,-4,-4,-4,-4,-4,-4
65,3,1,2,0,-4,0,-4,0,-4,1,4,1984,50751,1,1,-3,95,-3,95,1,2,-4,-4,-4,-4,-4,-4
66,3,1,2,0,-4,1,0,0,-4,1,10,1980,413500,10,1,12,-3,-4,18,1,91,-4,-4,-4,-4,-4,-4
67,3,1,2,0,-4,1,0,0,-4,1,11,1980,413500,4,1,12,18,-4,18,1,73,-4,-4,-4,-4,270,360
68,3,1,1,0,-4,0,-4,0,-4,1,1,1981,413500,10,1,12,-4,-4,18,1,62,-4,-4,-4,-4,-4,-4
69,2,1,2,0,-4,0,-4,0,-4,2,7,1981,-3,1,1,12,16,12,16,1,76,-4,-4,-4,-4,-4,-4
70,2,2,3,0,-4,1,0,0,-4,1,8,1982,-3,1,1,12,16,12,16,1,71,-4,-4,-4,-4,-4,-4
71,3,1,1,0,-4,1,0,0,-4,1,1,1980,18800,8,1,14,14,-4,-4,1,79,-4,-4,-4,-4,-4,-4
72,2,2,1,1,0,0,-4,0,-4,2,4,1982,-4,1,1,12,11,12,11,1,-4,-4,-4,-4,-4,-4,-4
73,1,1,1,0,-4,0,-4,0,-4,1,10,1984,-4,1,1,12,11,12,11,1,73,-4,-4,-4,-4,-4,-4
74,1,1,1,0,-4,0,-4,0,-4,1,7,1983,-3,1,1,-3,-3,-3,-3,4,-4,-4,-4,-4,-4,-4,-4
75,2,1,1,0,-4,0,-4,0,-4,1,1,1982,-4,5,1,8,-3,8,-4,4,70,-4,-4,-4,-4,200,360
76,-2,2,-2,0,-4,0,-4,0,-4,1,1,1982,-4,5,1,8,-3,8,-4,4,71,-4,-4,-4,-4,-4,-4
77,1,1,1,0,-4,0,-4,0,-4,2,11,1984,3750,1,1,12,12,12,12,2,-4,-4,-4,-4,-4,-4,-4
78,3,-2,-2,0,-4,0,-4,0,-4,2,7,1981,-3,4,1,-4,-3,-4,-3,4,-3,-4,-4,-4,-4,-4,-4
79,1,1,1,0,-4,1,0,0,-4,1,12,1983,-3,5,1,14,11,14,-4,2,-3,-4,-4,-4,-4,-4,-4
80,2,-2,-2,1,2,0,-4,1,0,1,6,1981,-3,4,1,14,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
81,4,5,1,0,-4,1,1,0,-4,2,1,1984,500,4,1,12,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
82,1,1,1,0,-4,0,-4,0,-4,1,7,1984,-3,4,1,-4,-3,-4,-3,2,72,-4,-4,-4,-4,-4,-4
83,-2,-2,-2,0,-4,0,-4,0,-4,1,9,1981,3750,4,1,12,6,-4,6,2,-4,-4,-4,-4,-4,-4,-4
84,2,-2,-2,0,-4,0,-4,0,-4,2,2,1984,3750,4,1,12,6,-4,6,2,83,-4,-4,-4,-4,-4,-4
85,1,1,1,0,-4,0,-4,0,-4,1,2,1984,8000,4,1,12,12,-4,12,4,-4,-4,-4,-4,-4,-4,-4
86,4,3,3,1,30,1,0,0,-4,2,10,1980,12240,1,1,12,12,12,12,4,65,-4,-4,-4,-4,420,400
87,1,1,1,0,-4,0,-4,0,-4,1,5,1984,15750,1,1,14,12,14,12,2,-4,-4,-4,-4,-4,-4,-4
88,3,3,1,0,-4,0,-4,0,-4,1,1,1981,-4,1,1,12,12,12,12,4,-4,-4,-4,-4,-4,-4,-4
89,4,-2,-2,0,-4,0,-4,0,-4,1,11,1981,-4,1,1,6,6,6,6,4,92,-4,-4,-4,-4,-4,-4
90,5,-2,-2,0,-4,0,-4,0,-4,1,11,1981,-3,1,1,12,16,12,16,2,68,-4,-4,-4,-4,-4,-4
91,5,1,-2,0,-4,0,-4,0,-4,2,9,1982,-3,1,1,12,16,12,16,2,-4,-4,-4,-4,-4,-4,-4
92,-2,-2,-2,0,-4,0,-4,0,-4,1,4,1983,3000,1,1,12,10,12,10,4,-4,-4,-4,-4,-4,-4,-4
93,1,2,1,0,-4,1,0,0,-4,1,9,1983,-3,1,1,12,8,12,8,2,74,-4,-4,-4,-4,-4,-4
94,2,2,3,1,0,1,0,1,0,2,9,1980,-3,4,1,12,10,-4,10,1,72,-4,-4,-4,-4,-4,-4
95,1,1,1,0,-4,0,-4,0,-4,1,7,1982,1750,1,1,8,8,8,8,2,-4,-4,-4,-4,-4,-4,-4
96,3,2,1,0,-4,0,-4,0,-4,1,7,1982,17500,1,1,14,12,14,12,4,-4,-4,-4,-4,-4,-4,-4
97,3,2,3,0,-4,1,0,0,-4,1,6,1980,12000,1,1,12,12,12,12,2,77,-4,-4,-4,-4,-4,-4
98,1,1,1,0,-4,1,0,0,-4,1,1,1980,-4,1,1,-3,-3,-3,-3,4,-4,-4,-4,-4,-4,-4,-4
99,-2,1,1,0,-4,1,0,0,-4,1,6,1982,3750,2,1,-4,8,10,8,2,59,-4,-4,-4,-4,-4,-4
100,4,2,2,0,-4,0,-4,0,-4,2,1,1981,-8500,4,1,-3,10,-4,10,1,-3,-4,-4,-4,-4,-4,-4
101,5,3,2,0,-4,0,-4,0,-4,2,7,1981,-3,4,1,-4,6,-4,6,1,68,-4,-4,-4,-4,-4,-4
102,4,3,2,1,30,1,6,0,-4,2,4,1982,190001,1,1,12,12,12,12,2,75,-4,-4,-4,-4,-4,-4
103,3,1,1,1,1,0,-4,0,-4,2,11,1983,190001,1,1,12,12,12,12,2,74,19,20,16,19,460,440
104,4,4,3,1,0,1,0,0,-4,2,11,1980,258500,1,1,16,13,16,13,4,80,-4,-4,-4,-4,460,490
105,1,1,1,1,0,1,0,0,-4,1,8,1983,258500,1,1,16,13,16,13,4,79,-4,-4,-4,-4,-4,-4
106,3,4,4,1,0,1,10,0,-4,1,11,1981,382500,1,1,12,16,12,16,4,75,-4,-4,-4,-4,450,410
107,5,5,2,0,-4,0,-4,0,-4,2,8,1982,559500,1,1,19,16,19,16,4,93,24,25,25,20,650,590
108,1,1,1,0,-4,0,-4,0,-4,1,9,1984,559500,1,1,19,16,19,16,4,92,-4,-4,-4,-4,660,510
109,1,1,1,1,0,0,-4,0,-4,2,3,1982,453750,1,1,12,12,12,12,4,88,22,22,22,23,510,500
110,1,1,1,-1,-4,0,-4,0,-4,2,2,1984,453750,1,1,12,12,12,12,4,80,20,22,21,15,470,500
111,4,4,4,1,0,1,0,0,-4,2,1,1981,105500,6,1,-4,-4,13,12,4,89,22,24,25,18,490,610
112,2,1,1,0,-4,0,-4,0,-4,2,4,1984,-4,1,1,12,12,12,12,4,82,18,14,21,16,420,480
113,3,4,2,0,-4,1,0,0,-4,1,4,1984,2750,4,1,12,15,-4,15,4,-4,-4,-4,-4,-4,-4,-4
114,4,3,4,1,30,1,1,1,0,2,7,1982,102200,1,1,13,12,13,12,4,76,-4,-4,-4,-4,340,500
115,5,5,5,1,1,1,1,0,-4,2,10,1984,-3,1,1,12,12,12,12,2,-4,-4,-4,-4,-4,-4,-4
116,2,1,2,0,-4,0,-4,0,-4,1,10,1984,26250,4,1,12,12,-4,12,1,2,-4,-4,-4,-4,360,410
117,2,1,2,0,-4,0,-4,0,-4,1,10,1984,26250,4,1,12,12,-4,12,1,2,-4,-4,-4,-4,370,380
118,3,5,3,0,-4,1,0,0,-4,1,6,1980,-3,1,1,16,12,16,12,4,2,-4,-4,-4,-4,370,400
119,3,1,2,1,0,0,-4,0,-4,1,9,1982,-3,1,1,12,15,12,15,4,-4,-4,-4,-4,-4,-4,-4
120,4,2,3,1,0,1,0,0,-4,1,6,1982,-4,5,1,17,16,17,-4,4,-4,-4,-4,-4,-4,-4,-4
121,2,1,1,1,0,1,0,0,-4,1,12,1981,155450,1,1,14,14,14,14,4,76,-4,-4,-4,-4,510,590
122,1,1,1,1,5,0,-4,0,-4,1,6,1984,155450,1,1,14,14,14,14,4,2,-4,-4,-4,-4,460,410
123,3,4,3,0,-4,1,1,0,-4,1,2,1980,-4,1,1,12,15,12,15,4,-3,-4,-4,-4,-4,510,590
124,3,1,1,0,-4,0,-4,0,-4,1,2,1982,-4,1,1,12,15,12,15,4,-4,-4,-4,-4,-4,-4,-4
125,1,1,1,0,-4,0,-4,0,-4,2,5,1984,-3,1,1,18,16,18,16,4,-4,-4,-4,-4,-4,-4,-4
126,4,3,4,1,0,1,10,0,-4,1,5,1981,-4,4,1,-4,12,-4,12,4,-3,-4,-4,-4,-4,-4,-4
127,3,2,2,0,-4,0,-4,0,-4,2,3,1982,-4,1,1,16,16,16,16,4,3,-4,-4,-4,-4,510,470
128,4,4,2,0,-4,0,-4,0,-4,2,8,1982,175500,4,1,18,16,-4,16,4,3,-4,-4,-4,-4,490,520
129,3,1,1,1,0,0,-4,0,-4,2,8,1980,-4,3,1,17,-4,17,16,4,4,-4,-4,-4,-4,550,780
130,4,2,1,1,30,0,-4,0,-4,2,7,1981,-4,3,1,17,-4,17,16,4,-4,-4,-4,-4,-4,-4,-4
131,3,2,1,0,-4,0,-4,0,-4,1,10,1980,470750,1,1,16,16,16,16,4,96,-4,-4,-4,-4,540,560
132,3,3,3,0,-4,0,-4,0,-4,1,2,1983,-3,1,1,16,16,16,16,4,4,-4,-4,-4,-4,580,660
133,3,2,2,1,0,1,0,0,-4,1,7,1982,68500,1,1,16,16,16,16,4,4,-4,-4,-4,-4,500,720
134,1,1,1,0,-4,0,-4,0,-4,1,4,1984,-4,1,1,16,14,16,14,4,3,-4,-4,-4,-4,600,570
135,4,3,4,1,2,1,1,0,-4,1,4,1981,87500,4,1,15,18,-4,18,4,4,-4,-4,-4,-4,580,620
136,3,1,2,0,-4,0,-4,0,-4,2,9,1983,-3,1,1,14,18,14,18,4,4,-4,-4,-4,-4,680,550
137,5,4,5,0,-4,1,0,0,-4,2,5,1980,500,4,1,-4,12,-4,12,4,-3,-4,-4,-4,-4,-4,-4
138,1,1,1,0,-4,1,0,0,-4,1,4,1984,600000,1,1,18,16,18,16,4,2,-4,-4,-4,-4,540,550
139,1,1,1,0,-4,0,-4,0,-4,2,7,1984,600000,1,1,16,18,16,18,4,4,-4,-4,-4,-4,800,650
140,1,1,1,0,-4,0,-4,0,-4,1,12,1983,35500,2,1,14,12,16,12,2,-4,-4,-4,-4,-4,-4,-4
141,4,5,3,1,0,1,0,0,-4,2,1,1980,4050,1,1,9,12,9,12,4,-4,-4,-4,-4,-4,-4,-4
142,4,2,3,1,30,1,0,1,0,2,1,1981,8000,4,1,14,10,-4,10,4,2,-4,-4,-4,-4,-4,-4
143,1,1,4,1,0,0,-4,0,-4,1,8,1981,84299,1,1,14,12,14,12,1,79,-4,-4,-4,-4,430,320
144,5,4,3,0,-4,0,-4,0,-4,1,8,1982,131750,2,1,12,16,12,16,1,2,-4,-4,-4,-4,-4,-4
145,2,2,2,0,-4,1,9,0,-4,1,4,1984,131750,2,1,12,16,12,16,1,2,-4,-4,-4,-4,-4,-4
146,1,1,1,0,-4,0,-4,0,-4,1,7,1984,150,1,1,12,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
147,1,1,1,0,-4,0,-4,0,-4,2,2,1984,-3,1,1,13,12,13,12,4,-3,-4,-4,-4,-4,-4,-4
148,3,5,5,1,0,1,0,1,0,2,10,1982,-15750,4,1,12,6,-4,6,1,2,-4,-4,-4,-4,-4,-4
149,2,1,1,0,-4,0,-4,0,-4,2,4,1983,3750,4,1,11,11,-4,11,1,2,-4,-4,-4,-4,-4,-4
150,1,1,1,1,0,1,0,0,-4,1,2,1984,3750,4,1,-3,11,-4,11,1,-3,-4,-4,-4,-4,-4,-4
151,5,5,5,0,-4,1,1,0,-4,2,1,1982,-3,9,1,11,11,-4,-4,1,73,-4,-4,-4,-4,-4,-4
152,1,1,1,1,0,1,0,0,-4,1,5,1982,-4,1,1,14,12,14,12,1,65,-4,-4,-4,-4,-4,-4
153,4,3,4,1,10,1,3,0,-4,2,2,1980,1750,2,1,13,10,12,10,1,3,-4,-4,-4,-4,-4,-4
154,3,3,4,1,0,1,0,0,-4,1,6,1980,125500,1,1,20,19,20,19,4,3,-4,-4,-4,-4,-4,-4
155,3,2,3,1,4,1,3,1,8,1,2,1980,-3,1,1,18,14,18,14,4,4,-4,-4,-4,-4,-4,-4
156,3,2,2,0,-4,1,0,0,-4,1,11,1982,-3,1,1,18,14,18,14,4,4,-4,-4,-4,-4,-4,-4
157,3,3,3,0,-4,0,-4,0,-4,2,3,1982,34500,1,1,12,12,12,12,2,4,-4,-4,-4,-4,-4,-4
158,1,1,1,0,-4,0,-4,0,-4,1,12,1984,56000,1,1,-3,16,-3,16,2,93,-4,-4,-4,-4,480,520
159,1,4,1,1,0,1,4,0,-4,2,1,1980,8200,1,1,10,12,10,12,2,77,-4,-4,-4,-4,270,200
160,5,4,5,1,30,1,4,1,30,2,1,1981,3750,4,1,10,9,-4,9,2,-3,-4,-4,-4,-4,-4,-4
161,3,3,3,1,0,1,0,1,0,1,1,1982,3750,4,1,10,9,-4,9,2,1,-4,-4,-4,-4,-4,-4
162,4,3,5,0,-4,0,-4,1,0,2,8,1981,-3,4,1,-4,-3,-4,-3,1,-3,-4,-4,-4,-4,520,410
163,3,4,5,1,0,1,0,1,0,1,2,1983,-3,4,1,-4,-3,-4,-3,1,-4,-4,-4,-4,-4,-4,-4
164,3,3,3,1,30,1,10,1,0,2,7,1981,14250,1,1,12,12,12,12,4,-3,-4,-4,-4,-4,-4,-4
165,3,3,4,0,-4,1,1,0,-4,1,4,1980,-4,1,1,12,13,12,13,4,-3,-4,-4,-4,-4,430,480
166,3,3,2,1,0,1,2,1,0,2,9,1982,-4,1,1,12,13,12,13,4,-3,-4,-4,-4,-4,460,660
167,1,-2,1,0,-4,0,-4,0,-4,1,11,1984,-3,1,1,12,8,12,8,2,-4,-4,-4,-4,-4,-4,-4
168,3,1,2,1,1,0,-4,0,-4,1,1,1981,-3,1,1,12,13,12,13,2,-3,-4,-4,-4,-4,-4,-4
169,2,1,1,1,0,0,-4,0,-4,2,1,1983,3250,1,1,20,12,20,12,4,-3,19,19,20,19,-4,-4
170,2,1,1,0,-4,0,-4,0,-4,2,8,1984,3250,1,1,20,12,20,12,4,-3,16,14,17,14,470,430
171,2,1,1,0,-4,0,-4,0,-4,2,7,1984,38500,1,1,11,12,11,12,2,-3,-4,-4,-4,-4,500,540
172,1,1,1,0,-4,0,-4,0,-4,1,7,1983,535501,1,1,18,16,18,16,4,-4,-4,-4,-4,-4,-4,-4
173,3,2,2,1,0,1,0,0,-4,2,6,1980,-3,1,1,18,16,18,16,4,4,-4,-4,-4,-4,540,440
174,1,1,1,0,-4,0,-4,0,-4,1,4,1983,-3,1,1,18,16,18,16,4,3,-4,-4,-4,-4,290,430
175,4,2,2,1,0,1,0,0,-4,2,10,1981,-3,1,1,18,16,18,16,4,3,-4,-4,-4,-4,640,640
176,4,1,3,0,-4,0,-4,0,-4,1,9,1982,535001,1,1,18,13,18,13,4,4,29,24,32,28,620,690
177,4,3,1,1,0,1,1,0,-4,2,11,1980,160950,1,1,12,16,12,16,4,3,-4,-4,-4,-4,540,410
178,2,1,1,0,-4,0,-4,0,-4,2,3,1980,288000,1,1,18,12,18,12,4,-4,-4,-4,-4,-4,-4,-4
179,2,2,2,0,-4,0,-4,0,-4,2,9,1981,288000,1,1,18,12,18,12,4,4,-4,-4,-4,-4,670,670
180,1,1,1,0,-4,0,-4,0,-4,1,9,1983,288000,1,1,18,12,18,12,4,-4,-4,-4,-4,-4,-4,-4
181,2,1,1,0,-4,0,-4,0,-4,2,11,1982,-3,1,1,20,18,20,18,4,4,-4,-4,-4,-4,670,710
182,1,1,1,0,-4,0,-4,0,-4,2,5,1984,-3,1,1,20,18,20,18,4,4,27,25,31,25,580,760
183,4,2,3,0,-4,0,-4,0,-4,2,12,1980,-3,1,1,20,16,20,16,4,3,-4,-4,-4,-4,530,380
184,2,1,1,0,-4,1,0,0,-4,1,12,1984,293800,1,1,16,14,16,14,4,3,-4,-4,-4,-4,550,520
185,4,4,5,1,5,1,4,1,2,1,6,1981,-2332,2,1,12,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
186,4,2,1,0,-4,0,-4,0,-4,2,7,1983,-4,1,1,-3,-3,-3,-3,4,-4,-4,-4,-4,-4,-4,-4
187,4,1,1,0,-4,0,-4,0,-4,1,9,1983,-3,1,1,14,12,14,12,2,3,-4,-4,-4,-4,-4,-4
188,4,5,5,1,5,1,4,1,1,2,10,1980,19500,4,1,12,12,-4,12,4,3,-4,-4,-4,-4,-4,-4
189,2,1,1,0,-4,0,-4,0,-4,2,8,1984,-4,4,1,-4,12,-4,12,4,3,20,21,19,21,450,440
190,4,1,1,1,10,1,2,0,-4,1,10,1983,308001,4,1,12,16,-4,16,4,-4,-4,-4,-4,-4,-4,-4
191,3,2,4,1,1,1,1,1,0,1,2,1982,326000,6,1,-4,-4,16,16,4,2,-4,-4,-4,-4,-4,-4
192,3,3,2,0,-4,0,-4,0,-4,2,3,1982,-42488,4,1,16,15,-4,15,2,-4,-4,-4,-4,-4,-4,-4
193,5,4,4,0,-4,0,-4,0,-4,2,2,1981,-8000,4,1,10,12,-4,12,1,1,-4,-4,-4,-4,-4,-4
194,4,4,4,1,0,1,0,1,0,2,10,1980,-27600,9,1,-3,14,-4,-4,2,2,-4,-4,-4,-4,290,420
195,3,3,4,1,0,0,-4,1,0,1,1,1983,30500,4,1,-3,14,-4,14,1,-4,-4,-4,-4,-4,-4,-4
196,1,1,1,0,-4,0,-4,0,-4,1,4,1984,-3,1,1,14,19,14,19,2,-4,-4,-4,-4,-4,-4,-4
197,3,3,-2,1,3,1,6,1,0,2,12,1981,132000,1,1,17,14,17,14,4,-4,-4,-4,-4,-4,-4,-4
198,4,4,3,1,25,1,2,1,5,2,7,1980,-4,8,1,12,11,-4,-4,4,2,-4,-4,-4,-4,-4,-4
199,1,1,1,1,30,1,0,1,30,1,6,1982,455500,1,1,16,17,16,17,4,78,-4,-4,-4,-4,500,470
200,3,3,3,0,-4,0,-4,0,-4,1,8,1980,255500,4,1,12,15,-4,15,4,89,-4,-4,-4,-4,-4,-4
201,2,1,1,0,-4,1,0,0,-4,2,12,1983,123000,1,1,18,18,18,18,4,87,-4,-4,-4,-4,760,730
202,1,1,1,1,0,0,-4,0,-4,1,1,1982,-4,1,1,12,12,12,12,4,74,-4,-4,-4,-4,-4,-4
203,2,1,1,0,-4,1,0,0,-4,2,1,1984,-4,1,1,12,12,12,12,4,90,-4,-4,-4,-4,420,480
204,5,4,4,1,30,1,11,1,15,2,5,1981,37550,4,1,14,15,-4,15,4,69,-4,-4,-4,-4,440,480
205,4,2,2,0,-4,1,1,0,-4,2,11,1983,37550,4,1,14,15,-4,15,4,-4,-4,-4,-4,-4,-4,-4
206,4,3,3,1,25,1,0,0,-4,1,2,1982,-3,1,1,10,10,10,10,4,79,-4,-4,-4,-4,360,400
207,3,3,3,1,3,1,2,0,-4,2,11,1981,600000,1,1,8,12,8,12,4,85,-4,-4,-4,-4,480,590
