"R0000100","R0070400","R0070500","R0071000","R0357900","R0358100","R0358300","R0358500","R0358900","R0359100","R0536300","R0536401","R0536402","R1204700","R1205300","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R9792900","R9793400","R9793500","R9793600","R9793700","R9793800","R9793900"
8049,4,1,2,0,-4,0,-4,0,-4,1,2,1981,17500,4,0,-3,11,-4,11,1,1,15,15,14,15,-4,-4
8050,2,2,1,0,-4,0,-4,0,-4,1,2,1981,86500,4,0,16,12,-4,12,1,2,14,1,4,1,-4,-4
8051,5,3,5,1,0,1,0,1,0,1,9,1981,2300,4,0,12,13,-4,13,1,-3,-4,-4,-4,-4,-4,-4
8052,2,4,5,1,30,1,30,1,29,1,6,1981,1000,4,0,-4,9,-4,9,1,-3,-4,-4,-4,-4,-4,-4
8053,1,1,1,1,29,1,2,1,10,1,10,1982,1000,4,0,-4,9,-4,9,1,-4,-4,-4,-4,-4,-4,-4
8054,2,2,3,0,-4,0,-4,0,-4,2,3,1980,23300,9,0,12,-3,-4,-4,1,2,-4,-4,-4,-4,-4,-4
8055,2,2,3,0,-4,0,-4,0,-4,1,11,1980,54000,1,0,11,12,11,12,1,3,-4,-4,-4,-4,-4,-4
8056,1,1,1,0,-4,0,-4,0,-4,2,2,1984,54000,1,0,11,12,11,12,1,3,-4,-4,-4,-4,-4,-4
8057,2,1,2,0,-4,0,-4,0,-4,1,5,1984,-9750,4,0,12,14,-4,14,1,-4,-4,-4,-4,-4,-4,-4
8058,2,2,3,0,-4,1,0,1,0,1,9,1980,-4,4,0,-4,12,-4,12,1,3,17,16,16,17,-4,-4
8059,4,5,4,0,-4,1,0,0,-4,1,1,1983,11750,1,0,6,9,6,9,1,2,-4,-4,-4,-4,-4,-4
8060,4,2,2,0,-4,0,-4,0,-4,2,11,1984,500,4,0,11,11,-4,11,1,-4,-4,-4,-4,-4,-4,-4
8061,1,3,3,0,-4,1,0,1,0,2,2,1980,62500,4,0,-3,14,-4,14,1,1,-4,-4,-4,-4,-4,-4
8062,4,4,3,0,-4,0,-4,0,-4,1,9,1983,3750,4,0,-3,14,-4,14,2,-4,-4,-4,-4,-4,-4,-4
8063,1,4,4,1,0,1,0,1,0,1,10,1980,5700,9,0,-4,10,-4,-4,1,-4,-4,-4,-4,-4,-4,-4
8064,3,5,3,0,-4,0,-4,0,-4,2,2,1982,5700,4,0,12,9,-4,9,1,0,-4,-4,-4,-4,-4,-4
8065,2,2,3,1,0,1,0,1,0,1,9,1980,33810,8,0,-3,11,-4,-4,1,2,-4,-4,-4,-4,-4,-4
